,,0,C12H10N4O2               
0,0,0,C13H20N4O6               
0,0,0,C14H10O4               
0,0,0,C15H10O10S               
0,0,0,C15H10O11S               
0,0,0,C15H10O12S2               
0,0,0,C15H10O12S3               
0,0,0,C15H10O13S2               
0,0,0,C15H10O15S3               
0,0,0,C15H10O16S3               
0,0,0,C15H10O19S4               
0,0,0,C15H10O2               
0,0,0,C15H10O3               
0,0,0,C15H10O4               
0,0,0,C15H10O5               
0,0,0,C15H10O6               
0,0,0,C15H10O7               
0,0,0,C15H10O8               
0,0,0,C15H10O8S               
0,0,0,C15H10O9               
0,0,0,C15H10O9S               
0,0,0,C15H11ClO3               
0,0,0,C15H11O4               
0,0,0,C15H11O5               
0,0,0,C15H11O6               
0,0,0,C15H11O7               
0,0,0,C15H12O3               
0,0,0,C15H12O4               
0,0,0,C15H12O5               
0,0,0,C15H12O6               
0,0,0,C15H12O7               
0,0,0,C15H12O8               
0,0,0,C15H12O8S               
0,0,0,C15H14O               
0,0,0,C15H14O2               
0,0,0,C15H14O3               
0,0,0,C15H14O4               
0,0,0,C15H14O5               
0,0,0,C15H14O6               
0,0,0,C15H14O7               
0,0,0,C15H14O8               
0,0,0,C15H8O5               
0,0,0,C15H8O6               
0,0,0,C15H8O7               
0,0,0,C15H9ClO2               
0,0,0,C15H9ClO5               
0,0,0,C15H9O6               
0,0,0,C16H10O5               
0,0,0,C16H10O6               
0,0,0,C16H10O7               
0,0,0,C16H12O10S               
0,0,0,C16H12O11S               
0,0,0,C16H12O12S2               
0,0,0,C16H12O13S2               
0,0,0,C16H12O14S2               
0,0,0,C16H12O16S3               
0,0,0,C16H12O3               
0,0,0,C16H12O4               
0,0,0,C16H12O5               
0,0,0,C16H12O6               
0,0,0,C16H12O7               
0,0,0,C16H12O8               
0,0,0,C16H12O9S               
0,0,0,C16H13ClO5               
0,0,0,C16H13O7               
0,0,0,C16H14O2               
0,0,0,C16H14O3               
0,0,0,C16H14O4               
0,0,0,C16H14O5               
0,0,0,C16H14O6               
0,0,0,C16H14O7               
0,0,0,C16H14O8               
0,0,0,C16H15O5               
0,0,0,C16H15O6               
0,0,0,C16H16O3               
0,0,0,C16H16O4               
0,0,0,C16H16O5               
0,0,0,C16H16O6               
0,0,0,C16H16O7               
0,0,0,C16H8O6               
0,0,0,C17H10O3               
0,0,0,C17H10O4               
0,0,0,C17H10O6               
0,0,0,C17H10O7               
0,0,0,C17H10O9               
0,0,0,C17H12O17S3               
0,0,0,C17H12O3               
0,0,0,C17H12O4               
0,0,0,C17H12O5               
0,0,0,C17H12O6               
0,0,0,C17H12O7               
0,0,0,C17H12O8               
0,0,0,C17H14O10S               
0,0,0,C17H14O11S               
0,0,0,C17H14O13S2               
0,0,0,C17H14O14S2               
0,0,0,C17H14O3               
0,0,0,C17H14O4               
0,0,0,C17H14O5               
0,0,0,C17H14O6               
0,0,0,C17H14O7               
0,0,0,C17H14O8               
0,0,0,C17H14O9               
0,0,0,C17H14O9S               
0,0,0,C17H15O6               
0,0,0,C17H15O7               
0,0,0,C17H16O4               
0,0,0,C17H16O5               
0,0,0,C17H16O6               
0,0,0,C17H16O7               
0,0,0,C17H16O8               
0,0,0,C17H17O5               
0,0,0,C17H17O6               
0,0,0,C17H18O3               
0,0,0,C17H18O4               
0,0,0,C17H18O5               
0,0,0,C17H18O6               
0,0,0,C17H18O7               
0,0,0,C18H10O5               
0,0,0,C18H12O4               
0,0,0,C18H12O5               
0,0,0,C18H12O6               
0,0,0,C18H12O7               
0,0,0,C18H12O8               
0,0,0,C18H12O9               
0,0,0,C18H14O3               
0,0,0,C18H14O4               
0,0,0,C18H14O5               
0,0,0,C18H14O6               
0,0,0,C18H14O7               
0,0,0,C18H14O8               
0,0,0,C18H14O9               
0,0,0,C18H15ClO7               
0,0,0,C18H16O10               
0,0,0,C18H16O10S               
0,0,0,C18H16O11S               
0,0,0,C18H16O4               
0,0,0,C18H16O5               
0,0,0,C18H16O6               
0,0,0,C18H16O7               
0,0,0,C18H16O8               
0,0,0,C18H16O9               
0,0,0,C18H17BrO5               
0,0,0,C18H17O7               
0,0,0,C18H18O3               
0,0,0,C18H18O4               
0,0,0,C18H18O5               
0,0,0,C18H18O6               
0,0,0,C18H18O7               
0,0,0,C18H18O8               
0,0,0,C18H20O3               
