LMGL05030001,S-TGD-1-PA,"3-HSO3-Gal-alpha1-6-Man-beta1-2-Glc-alpha1-1-[2,3-di-O-phytanyl-sn-glycerol]-6-[phospho-2,3-di-O-phytanyl-sn-glycerol]",C104H205O26PS   ,1933.4178,Glycerolipids [GL],Glycosyldiradylglycerols [GL05],Glycosyldialkylglycerols [GL0503]
LMGL01020027,1-Octylglycerol,1-O-octyl-sn-glycerol,C11H24O3   ,204.1725,Glycerolipids [GL],Monoradylglycerols [GL01],Monoalkylglycerols [GL0102]
LMGL01020030,2-Octylglycerol,2-O-octyl-sn-glycerol,C11H24O3   ,204.1725,Glycerolipids [GL],Monoradylglycerols [GL01],Monoalkylglycerols [GL0102]
LMGL01010008,-,1-dodecanoyl-sn-glycerol,C15H30O4   ,274.2144,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010001,MG(16:0/0:0/0:0)[rac],1-hexadecanoyl-rac-glycerol,C19H38O4   ,330.277,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010009,MG(16:0/0:0/0:0),1-hexadecanoyl-sn-glycerol,C19H38O4   ,330.277,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010025,MG(0:0/16:0/0:0),2-hexadecanoyl-sn-glycerol,C19H38O4   ,330.277,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01020032,1-Hexadecylglycerol,1-O-hexadecyl-sn-glycerol,C19H40O3   ,316.2977,Glycerolipids [GL],Monoradylglycerols [GL01],Monoalkylglycerols [GL0102]
LMGL01010002,MG(17:0/0:0/0:0)[rac],1-heptadecanoyl-rac-glycerol,C20H40O4   ,344.2927,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010006,"MG(18:2(9Z,12Z)/0:0/0:0)[rac]","1-(9Z,12Z-octadecadienoyl)-rac-glycerol",C21H38O4   ,354.277,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010004,MG(18:1(11E)/0:0/0:0)[rac],1-(11E-octadecenoyl)-rac-glycerol,C21H40O4   ,356.2927,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010005,MG(18:1(9Z)/0:0/0:0)[rac],1-(9Z-octadecenoyl)-rac-glycerol,C21H40O4   ,356.2927,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010024,MG(0:0/18:1(9Z)/0:0),2-(9Z-octadecenoyl)-sn-glycerol,C21H40O4   ,356.2927,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01020031,1-Oleylglycerol,1-O-(9Z-octadecenyl)-sn-glycerol,C21H40O4   ,356.2927,Glycerolipids [GL],Monoradylglycerols [GL01],Monoalkylglycerols [GL0102]
LMGL01010003,MG(18:0/0:0/0:0)[rac],1-octadecanoyl-rac-glycerol,C21H42O4   ,358.3083,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01020033,1-Octadecylglycerol,1-O-octadecyl-sn-glycerol,C21H44O3   ,344.329,Glycerolipids [GL],Monoradylglycerols [GL01],Monoalkylglycerols [GL0102]
