LMPR03070004,Dolichol-20,alpha-dihydroeicosaprenol,C100H164O   ,1381.2782,Prenol Lipids [PR],Polyprenols [PR03],Dolichols [PR0307]
LMPR0102110001,beta-Dolabrin,-,C10H10O2   ,162.0681,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102030001,-,"7-(bromochloromethyl)-3R,4S,8-trichloro-3-methyl-1,5E,7E-octatriene",C10H11BrCl4   ,349.8798,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102090014,p-Cymene,-,C10H14   ,134.1096,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102080001,-,1-acetyl-4-isopropenyl-cyclopentene,C10H14O   ,150.1045,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102090007,(-)-Carvone,-,C10H14O   ,150.1045,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102090009,(-)-Isopiperitenone,-,C10H14O   ,150.1045,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102090010,Perillyl aldehyde,-,C10H14O   ,150.1045,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102090017,Carvacrol,-,C10H14O   ,150.1045,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102090020,Menthofuran,-,C10H14O   ,150.1045,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102090023,Pinocarvone,-,C10H14O   ,150.1045,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102090029,Thymol,-,C10H14O   ,150.1045,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
LMPR0102090056,piperitenone,"p-mentha-1,4(8)-dien-3-one",C10H14O   ,150.1045,Prenol Lipids [PR],Isoprenoids [PR01],C10 isoprenoids (monoterpenes) [PR0102]
