1,"Fusicocca-3,5-diene",1850,C20H32    ,272
2,9-epi-Sclarene,1896,C20H32    ,272
3,Laurenene,1903,C20H32    ,272
4,Rimuene,1907,C20H32    ,272
5,"Isopimara-8,15-diene",1922,C20H32    ,272
6,Cembrene,1938,C20H32    ,272
7,"Pimara-8,15-diene",1942,C20H32    ,272
8,Sclarene,1943,C20H32    ,272
9,Isohibaene,1944,C20H32    ,272
10,"Rosa-5,15-diene",1945,C20H32    ,272
11,"(E)-2,6-Dimethyl-10-(p-tolyl)-undeca-2,6-diene",1945,C20H30    ,270
12,Isocembrene,1951,C20H32    ,272
13,Beyerene,1951,C20H32    ,272
14,"Pimara-8(14),15-diene",1955,C20H32    ,272
15,Cembrene A,1962,C20H32    ,272
16,"Labda-7,13,14-triene",1978,C20H32    ,272
17,"Isopimara-8(14),15-diene",1981,C20H32    ,272
18,Isophyllocladene,1982,C20H32    ,272
19,"Dolabella-6,10,15-triene",1984,C20H32    ,272
20,(Z)-Biformene,1988,C20H32    ,272
21,Manool oxide,2007,C20H34O    ,290
22,Geranyllinalool,2008,C20H32    ,272
23,"Isopimara-7,15-diene",2010,C20H32    ,272
24,15-Kaurene,2011,C20H32    ,272
25,"Isopimara-8,15-diene",2016,C20H32    ,272
26,Dolabradiene,2017,C20H32    ,272
27,Trachylobane,2022,C20H32    ,272
28,(E)-Biformene,2017,C20H32    ,272
29,Cembrene C,2023,C20H32    ,272
30,13-epi-Manoyl oxide,2023,C20H34O    ,290
31,"(E)-Labda-7,12,14-triene",2036,C20H32    ,272
32,Phyllocladene,2042,C20H32    ,272
33,Abietatriene,2046,C20H30    ,270
34,16-Atisirene,2051,C20H32    ,272
35,16-Kaurene,2056,C20H32    ,272
36,Manool,2070,C20H32    ,272
37,Aphidicol-15-ene,2073,C20H32    ,272
38,"Valpara-2,15-diene",2073,C20H32    ,272
39,"Abieta-7,13-diene",2084,C20H32    ,272
40,"Labda-7,14-dien-13-ol",2096,C20H34O    ,290
41,Aphidicol-16-ene,2102,C20H32    ,272
42,Isoabienol,2124,C20H34O    ,290
43,"Abieta-8(14),13(15)-diene",2152,C20H32    ,272
44,"(8a,12Z)-Abienol",2146,C20H34O    ,290
45,Incensole,2193,C20H34O2    ,306
46,Sclareol,2231,C20H36O2    ,308
47,"Labda-8(17),14-dien-6,13-diol",2248,C20H34O2    ,306
48,Incensol acetate,2220,C22H36O3    ,348
49,"Verticilla-4(20),7,11-triene",2040,C20H32    ,272
50,m-Camphorene,1947,C20H32    ,272
51,p-Camphorene,1980,C20H32    ,272
52,Cembrenol,2131,C20H34O    ,290
53,Stema-13-ene,2025,C20H32    ,272
54,2-Allyl-4-methylphenol,1262,C10H12O    ,148
55,"8,9-Dehydrothymol acetate",1360,C12H14O2    ,190
56,"3,5,5-Trimethyl-4-methylenecyclohex-2-enone",1200,C10H14O    ,150
57,Cabreuva oxide D,1467,C15H24O    ,220
58,p-Isopropylbenzaldehyd,1220,C10H12O    ,148
59,"3-Methyl-4-(2,6,6-trimethylcyclohex-2-enyl)-but-3-en-2-one",1471,C14H22O    ,206
60,"2,6,6-Trimethyl-3-oxocyclohex-1-ene-1-carbaldehyde",1110,C10H14O2    ,166
61,Isophorone,1100,C9H14O    ,138
62,"3,5,5-Trimethylcyclohex-3-enone",1027,C9H14O    ,138
63,trans-Sabinyl acetate,1278,C12H16O2    ,192
64,Nerol,1210,C10H18O    ,154
65,"3a-Hydroxy-1,8-cineol",1217,C10H18O2    ,170
66,Carvone,1214,C10H14O    ,150
67,Thymol methyl ether,1215,C11H16O    ,164
68,Pulegone,1215,C10H16O    ,152
69,Neral,1215,C10H16O    ,152
70,p-Anisaldehyde,1218,C8H8O2    ,136
71,Chavicol,1219,C9H10O    ,134
72,"2,3-Dehydro-1,4-cineol",1219,C10H16O    ,152
73,trans-Isopulegone,1161,C10H16O    ,152
74,Piperitone,1226,C10H16O    ,152
75,"1,4-Dimethoxy-2-methylbenzene",1226,C9H12O2    ,152
76,Carvacrol methyl ether,1226,C11H16O    ,164
77,Isobornyl formate,1228,C11H18O2    ,182
78,2-Phenylethyl acetate,1230,C10H12O2    ,164
79,(E)-Cinnamaldehyde,1234,C9H8O    ,132
80,"2,3-Dehydro-1,8-cineol",993,C10H16O    ,152
81,2-Hydroxypinan-3-one,1235,C10H16O2    ,168
82,Geraniol,1235,C10H18O    ,154
83,Pseudodiosphenol,1245,C10H16O2    ,168
84,cis-Chrysanthenyl acetate,1253,C12H18O2    ,194
85,trans-Carvone epoxide,1243,C10H14O2    ,166
86,cis-Sabinene hydrat acetate,1248,C12H20O2    ,196
87,cis-Ethyl chrysanthemate,1251,C12H20O2    ,196
88,trans-Sabinen hydrate acetate,1254,C12H20O2    ,196
89,Citronellyl formate,1259,C11H20O2    ,184
90,Perilla aldehyde,1260,C10H14O    ,150
91,trans-Ethyl chrysanthemate,1260,C12H20O2    ,196
92,trans-Anethol,1262,C10H12O    ,148
93,Nonanoic acid,1263,C9H18O2    ,158
94,Isopulegol acetate (Isomer 1),1263,C12H20O2    ,196
95,Methyl nerolate,1265,C11H18O2    ,182
96,Safrol,1265,C10H10O2    ,162
97,cis-Thiorose oxide,1265,C10H18S    ,170
98,cis-Verbenyl acetate,1266,C12H18O2    ,194
99,Thymol,1267,C10H14O    ,150
100,Bornyl acetate,1270,C12H20O2    ,196
101,Neomenthyl acetate,1263,C12H22O2    ,198
102,"Deca-2,4-dienal",1270,C10H16O    ,152
103,Isopulegol acetate (Isomer 2),1271,C12H20O2    ,196
104,2-Undecanone,1273,C10H16O    ,152
105,"4,8-Dimethylnonanol",1276,C11H24O    ,172
106,Diosphenol,1276,C10H16O2    ,168
107,Isobornyl acetate,1276,C12H20O2    ,196
108,Carvacrol,1278,C10H14O    ,150
109,Thujopsadiene,1470,C15H22    ,202
110,Sesamol,1280,C7H6O3    ,138
111,Menthyl acetate,1280,C12H22O2    ,198
112,Geranial,1244,C10H16O    ,152
113,Geranyl formate,1284,C11H18O2    ,182
114,trans-Thiorose oxide,1284,C10H18S    ,170
115,2-Undecanol,1284,C11H24O    ,172
116,p-Isopropylbenzyl alcohol,1285,C10H14O    ,150
117,Sencyunolide,1672,C12H16O2    ,192
118,trans-Pinocarvyl acetate,1287,C12H18O2    ,194
119,"2,3,6-Trimethylbenzaldehyde",1287,C10H12O    ,148
120,Terpinen-4-ol acetate,1289,C12H20O2    ,196
121,Chrysanthenone epoxide,1290,C10H14O2    ,166
122,"(E,E)-Deca-2,4-dienal",1291,C10H16O    ,152
123,Puleganolide (Isomer 1),1292,C10H16O2    ,168
124,Dihydrocarveol acetate (Isomer 2),1295,C12H20O2    ,196
125,Isoascaridol,1295,C10H16O2    ,168
126,Theaspirane (Isomer 1),1299,C13H22O    ,194
127,cis-Pinocarvyl acetate,1300,C12H18O2    ,194
128,Dihydronaginata ketone,1300,C10H14O2    ,166
129,Naginata ketone alcohol,1306,C10H14O3    ,182
130,Puleganolide (Isomer 2),1305,C10H16O2    ,168
131,Methyl geranate,1306,C11H18O2    ,182
132,Vinylguaiacol,1311,C9H10O2    ,150
133,5-Acetoxylinalool,1303,C12H20O3    ,212
134,Theaspirane (Isomer 2),1313,C13H22O    ,194
135,Chavicol acetate,1313,C11H12O2    ,176
